DATETIME;t(s);0;1;2;3;4;5;6;7;8;9;$P_e$(2.2m);$P_e$(2.6m);$P_e$(3.0m);$P_e$(3.4m);$P_e$(3.8m)
2015-06-24 19:28:00;26380;98744.4737028718;108117.02684657993;95132.93610642085;109919.31891401282;94093.13577972286;111458.10470669431;98603.433385346;109909.51126918921;99829.06908388373;110887.6246790285;102448.48049999999;101676.26737999999;103286.19383999999;101996.87371999999;103231.03576
2015-06-24 19:30:00;26500;96811.47907251937;108363.88617174623;94905.49692308698;110301.71251962491;98271.94245362845;112067.84770245495;96418.68103123015;112481.71951621956;98061.79536139444;110167.08125696643;102300.24316;101303.95034;103362.03619999999;101872.76804;103258.6148
2015-06-24 19:32:00;26620;97648.66768673145;107705.07166533793;96087.51236505722;112168.7165521469;96111.76515172128;111313.7974330362;94751.70521811864;109279.64820246561;96532.95146901008;111722.49253771285;102227.84817999999;101545.26693999999;103299.98336;101900.34707999999;103010.40344
2015-06-24 19:34:00;26740;102412.87446260822;112869.82923443454;94415.9837197942;111042.54210138197;96759.39162423892;112192.05630357483;96601.77250933771;112199.21353008389;98484.83957329059;110386.52216288804;102172.69009999999;101421.16126;103244.82527999999;101865.87328;102955.24535999999
2015-06-24 19:36:00;26890;98794.44815707162;111409.89283336523;94035.35141503584;109928.95353320723;98623.14690723919;113439.56930353233;94720.75114776209;110311.67385482283;99231.99824696736;111160.80945722121;102152.00581999999;101379.79269999999;103348.24668;101596.97764;103017.29819999999
2015-06-24 19:38:00;27000;97175.13608608443;110335.7573159531;96284.54555523925;110297.39886693058;98236.09045738402;113924.60055491039;99174.57847909533;111972.40500168005;97302.072443513;111573.79036406976;102196.82175999999;101297.05557999999;103293.08859999999;101734.87284;102962.14012
2015-06-24 19:40:00;27120;94445.18365970119;109349.48534631327;95301.68731881538;108371.35380408098;94192.43217402197;113254.63596503613;95009.19299203779;110422.41621961723;96378.4049989568;112004.53782686486;102034.7949;101286.71343999999;103162.08815999998;101596.97764;102707.03399999999
2015-06-24 19:42:00;27240;97674.33398945228;107843.41140101518;94882.74279136391;109663.22373672761;94847.90036292025;112163.26197473034;94671.76213032856;108350.89862530975;95945.55093353009;110706.46223187177;101962.39992;101290.16081999999;103024.19295999999;101514.24051999999;102900.08727999999
2015-06-24 19:44:00;27350;95339.64565373075;110530.85012554763;96801.38865123807;106669.64131624218;97183.29822762303;112626.38374368593;93725.17506569749;111180.25169686032;95004.7291408775;109144.14986518363;101855.53113999999;101062.63373999999;103134.50911999999;101514.24051999999;102603.6126
2015-06-24 19:46:00;27470;97510.12833187809;108161.23885856387;95428.78812223753;107417.9436077468;97924.49402259408;112034.80709661325;96143.03531591737;106414.48161361925;98525.52205892098;112510.79834127112;101810.71519999999;101193.63418;102913.8768;101390.13483999998;102589.82307999999
2015-06-24 19:48:00;27590;98631.14825237998;108845.52392852139;93575.1748873359;108109.34328528873;96157.85217207018;112877.84503170037;95930.40714944464;108611.0204923407;94983.45498636969;113314.69778198977;101621.1093;101183.29204;102927.66631999999;101369.45056;102541.55975999999
2015-06-24 19:50:00;27700;95211.99021032128;109335.61567778837;97279.55376359473;108872.84564207814;96160.56427503718;113754.39815676353;95383.6081960597;111390.50611678675;97100.22549080072;110371.17026970796;101648.68834;100862.68569999999;102693.24448;101417.71388;102472.61215999999
2015-06-24 19:52:00;27820;97287.19054983494;106968.47484935627;98173.54887458018;111651.5518237649;95746.41178781187;110163.65729439701;96582.45619276297;109462.84492139013;97915.52291095644;108117.31888912016;101531.47742;100914.3964;102769.08683999999;101238.45012;102265.76935999999
2015-06-24 19:54:00;27940;96206.49177205858;108891.37031924576;96819.45716352087;109467.17685658223;94731.49499324999;111942.46235227246;94579.99075561657;110219.67070543066;96408.77360567125;111580.19522207858;101452.18767999999;101155.71299999999;102610.50735999999;101093.66016;102210.61128
2015-06-24 19:56:00;28090;94897.98713635841;106894.02149069602;93915.17406108204;106490.66852361617;100208.6272686457;108850.01371754968;96444.76850345009;109252.50386897994;98048.4056590916;111527.62662916911;101338.42413999999;101014.37041999999;102562.24403999999;101066.08111999999;101996.87371999999
2015-06-24 19:58:00;28200;95670.61802872413;108433.24099269843;96192.54832618122;110535.6201839403;97573.8814389982;110802.28744120822;95114.1404136903;107618.52909602106;96125.40232343084;111029.24688739431;101366.00318;100717.89573999999;102382.98027999999;100735.13264;102114.08463999999
2015-06-24 20:00:00;28320;93961.31638348417;110545.99667136789;95879.2285835243;109396.75344613714;97644.6708240898;108622.52707228833;95037.60832261975;108811.45803395739;94143.24096213772;111569.73448577157;101397.0296;100700.65883999999;102403.66455999999;100810.97499999999;102038.24227999999
2015-06-24 20:02:00;28440;96990.00877272822;111742.49070730635;96412.85205305749;109022.38643353645;96054.08625081606;111329.16799502721;94631.94832076039;109521.90908185378;95506.23292937381;108934.70310590239;101272.92391999999;100676.52717999999;102341.61171999999;100659.29027999999;101831.39948
2015-06-24 20:04:00;28550;95801.8890169405;107818.27812087622;95261.52290240093;110139.85852071518;98842.73960728741;110210.43995250294;98122.47818372647;113128.82888607694;99610.13393649158;108312.73050299795;101279.81868;100852.34356;102341.61171999999;100748.92215999999;101741.76759999999
2015-06-24 20:06:00;28670;97190.92124390921;108269.91964659595;97156.2838413861;111811.6271657222;96995.22934240787;110359.64149892797;96088.00105926882;109420.08994642585;97567.65575243098;109199.18101994751;101221.21321999999;100707.55359999998;102265.76935999999;100514.50031999999;101638.34619999999
